Source,Category,Text
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",insight,"Sustainability and use of natural materials is an important consideration for shoe brands like Allbirds. They research how to make shoes from plant-based leather, sugar cane and tree fibers."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",principle,Seth's principle for dealing with aging is focusing on what he can still do well rather than what he's walked away from. He switches to activities that match his current abilities.
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",recommendation,"Seth recommends picking a positive attitude, which is the one thing we truly control. How we process what happens to us is up to us."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",prediction,"Seth predicts community orchestras, where people participate voluntarily and not for money, probably make members happier and more engaged in life."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",key example,Seth's Carbon Almanac project is an example of finding meaning and purpose through creating something significant with a community of volunteers around the world. It gave participants solace and the team created a high-quality book together.
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",principle,"Frankl's principle of meaning - when a human finds something that means something to them, everything in their life gets better. Finding hope and assigning meaning to one's struggle is profound."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",recommendation,"To address nihilism, Seth recommends finding something to care about - a ""community orchestra"" or significant project - that gives life meaning beyond material purchases."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",idea,"The key question is whether the purpose of business is to enable humanity or if humanity should enable business. Many believe the latter, which is wrong."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",recommendation,"Instead of focusing on maximizing profits, companies should focus on enabling culture and humanity. This will make work more significant and meaningful for employees."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",idea,Significance comes from making a meaningful change happen. Even small changes with a few people can make an impact.
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",recommendation,"Instead of hustling to be the fastest and cheapest, people should find work that is uniquely them and that they can point to as something that mattered."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",recommendation,"Even if your current job lacks significance, you can still find ways within it to connect with others and make a small change, like starting a book club. Every step matters."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",key example,"The story of bees leaving their hive ""singing the song of increase"" demonstrates the power of collective movement towards a meaningful goal."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",idea,"The world needs more focus on improving the human condition, connection and possibility, rather than just profit and power."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",idea,Communication and thinking go hand in hand.
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",key example,"The author wrote a whole book in two weeks to honor people impacted by current issues, as a way to make an impact."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",principle,Doing an irrational task that requires effort helps show you have something important to say and can attract others to share your message.
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",idea,"Constant surveillance and isolation at work, like in a traditional Panopticon prison, strips meaning from people and treats them as resources rather than humans."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",recommendation,"When starting a small company, be transparent with employees and openly share information. Allow them to update their resumes and skills to gain better jobs elsewhere if needed. Retention should come from meaningful work, not inability to find other opportunities."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",principle,"Turnover can be a good thing when work is focused on humans, not profits. Onboarding should be fast to accommodate frequent career changes."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",recommendation,"Determine if job candidates can do the work based on short trial projects, not proxies like education or image. Pay them fairly for the work to then determine if they're a good long-term fit."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",idea,"Many common proxies for evaluating people actually lead to prejudice, injustice and inefficient decisions. We should evaluate people based on their actual work."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",idea,"Embrace an ""enroll first, onboard later"" approach to hiring new employees. Give them access to everything on day one so they can quickly get up to speed. Formal onboarding can come later. The key is immediate enrollment and engagement."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",principle,"Be honest and transparent with customers and prospects. Avoid wasting each other's time. Have real discussions focused on solving their problems. ""Let's get real or let's not play."""
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",idea,"In B2B selling, focus on helping customers get what they want rather than just trying to make a sale. Have honest conversations about the value you can provide and what it will take to solve their needs."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",recommendation,"Replace as many meetings as possible with asynchronous communication like memos, videos and online discussions. Only have live meetings when truly necessary."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",principle,"Practice ""page 19 thinking"" where you aim for continuous improvement rather than perfection. Welcome feedback and criticism to make your ideas and products better. Start with a rough draft and iterate from there."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",idea,Make developmental editing a priority. Hire an editor who can provide high-level feedback and suggestions to improve the overall structure and flow of your writing. Opinions from amateurs on minor copy editing issues are less valuable.
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",idea,Provide developmental editors with context on your goals and desired impact to enable them to provide the most useful feedback.
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",recommendation,"Hire a copy editor separately to fix mechanical errors like spelling, grammar and punctuation. But focus your time and energy on working with an experienced developmental editor."
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",key example,Seth Godin hired an editor at Penguin named Nikki Papadopoulos who provided high impact suggestions like changing the title and rearranging chapters. This significantly improved his books.
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",recommendation,Seek feedback from your target audience to understand which parts of your writing resonate with them the most. Use that to inform and improve your next work.
"#672- Seth Godin — The Pursuit of Meaning, The Life-Changing Power of Choosing Your Attitude, Overcoming Rejection, Life Lessons from Zig Ziglar, and Committing to Making Positive Change.txt",idea,Generosity and contribution are more important than hustle and scarcity. Focus on making things better for others.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,Text-based stimulation like bimodal stimulation or multi-sensory stimulation can help the brain learn new associations and alter perceptions.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,"When a new sense is introduced to the brain through an unusual source, the brain can often figure out how to interpret the new inputs and integrate it with existing senses."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",key example,"Vests that convert sound into vibrations on the skin can help deaf people ""hear"" through touch. The brain associates the vibrations with visual cues to interpret the signals."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",recommendation,Neuromodulation technologies like the wristband device developed by Neo sensory can help people with conditions like hearing loss or tinnitus.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,Illusions like stimulating two neighboring points to produce a virtual point in between can expand the resolution of a sensory device.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",prediction,There are many projects exploring technologies for sensory addition and sensory expansion that could augment healthy people's sensory experiences.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",recommendation,"Bimodal stimulation, where a sound and corresponding vibration are presented simultaneously, can help reduce tinnitus by teaching the brain to distinguish internal versus external sounds."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,The author describes how his experiences wearing infrared glasses have expanded his sensory perception by allowing him to detect heat signatures and detect objects that are normally invisible to the naked eye.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,One of the goals of the author's experiments is to explore how technology can expand human senses and perceptions. The author is interested in tapping into different parts of the electromagnetic spectrum to access information that is currently invisible to humans.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,"The author proposes that with enough data and training, humans may be able to develop intuitions and direct perceptions of complex phenomena, like the movements of the stock market, just from feeling the signals on their skin."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",recommendation,The author suggests that AI and machine learning can be used to develop useful applications that summarize complex information and feed simple outputs back to users. He gives the example of a wristband that helps people with autism understand social contexts.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,"The author speculates that in the future, humans may be able to directly perceive economic trends just by feeding large amounts of stock market data to their senses over time, allowing them to develop ""trading intuitions""."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",key example,"As an example of information hidden in the electromagnetic spectrum, the author mentions that looking at water in the microwave range can reveal whether it is drinkable or not, something humans did not know before."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,The pursuit of understanding how the brain constructs reality and consciousness is at the core of neuroscience.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",key example,Dreaming can be explained as the visual cortex's fight to maintain territory during periods of darkness when vision cannot be used. The amount of REM (dream) sleep correlates with an animal's brain plasticity.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",recommendation,"Conduct experiments aimed at uncovering the neural correlates of consciousness, to determine which parts of the brain are absolutely required for conscious awareness."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,"Consciousness may either be an emergent property that arises from a complex system, or a fundamental property already inherent in the brain's components. Current data cannot distinguish between these possibilities."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",principle,Brain plasticity - the ability of neural connections to change - underlies many neuroscience phenomena including why we dream.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",recommendation,"Focus research on the ""easy"" problem of identifying the neural correlates of consciousness, before tackling the ""hard problem"" of why biological activity gives rise to subjective experience."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",prediction,"As the brain becomes less plastic with age, the percentage of REM sleep decreases."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,"Research on blind subjects suggests that dreaming relies on ancient brain circuits, so blind people still dream using sounds, smells and tactile inputs rather than visual information."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",idea,The human mind thinks in hypothesis. Hypothesis testing helps you distinguish ideas and figure things out on your own.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",principle,"The ""lazy Susan method"" of working on multiple projects and spinning to a new one when getting stuck on the current project helps increase productivity and avoids getting overwhelmed."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",recommendation,"For time management and prioritization, set aside solo time weekly, monthly or quarterly to work on your own projects. Otherwise you'll end up committing too much of your time to other people's requests."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",prediction,High-achieving students with promising innovative ideas may still have trouble getting into graduate programs today due to the  highly competitive environment.
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",key example,"David Eagleman continued pursuing the publication of his first book some for 7 years, collecting a stack of rejection letters, before it was finally published and became an international bestseller. He persisted because he was inspired by a determined high school student."
"#674- Neuroscientist David Eagleman — Exploring Consciousness, Sensory Augmentation, The Lazy Susan Method of Extraordinary Productivity, Dreaming, Improving Hearing with a Wristband, Synesthesia, Stretching Time with Novelty, Lessons from Titans of S.txt",principle,"For writing fiction, magical realism - writing about things that shouldn't be possible by making them possible - allows for exploring ideas in crazy directions."
